,household,scenario,absolute poverty,relative poverty,year,minwage
1,Üksik mees,Tegelik,6.42,33.62,2018,501
2,Üksik mees,Ennustatud,6.42,33.62,2018,501
3,Üksik naine,Tegelik,2.16,22.68,2018,501
4,Üksik naine,Ennustatud,2.16,22.68,2018,501
5,Üksikvanem,Tegelik,0.19,30.12,2018,501
6,Üksikvanem,Ennustatud,0.19,30.12,2018,501
7,Lasteta paar,Tegelik,0.63,9.31,2018,501
8,Lasteta paar,Ennustatud,0.63,9.61,2018,501
9,Ühe lapsega paar,Tegelik,0,7.35,2018,501
10,Ühe lapsega paar,Ennustatud,0,7.42,2018,501
11,Kahe lapsega paar,Tegelik,0,9.4,2018,501
12,Kahe lapsega paar,Ennustatud,0,9.74,2018,501
13,Kolme ja enama lapsega paar,Tegelik,0,7.35,2018,501
14,Kolme ja enama lapsega paar,Ennustatud,0,7.35,2018,501
15,Üksik mees,Tegelik,6.42,33.62,2018,502
16,Üksik mees,Ennustatud,6.42,33.62,2018,502
17,Üksik naine,Tegelik,2.16,22.68,2018,502
18,Üksik naine,Ennustatud,2.16,22.34,2018,502
19,Üksikvanem,Tegelik,0.19,30.12,2018,502
20,Üksikvanem,Ennustatud,0.19,30.12,2018,502
21,Lasteta paar,Tegelik,0.63,9.31,2018,502
22,Lasteta paar,Ennustatud,0.63,9.61,2018,502
23,Ühe lapsega paar,Tegelik,0,7.35,2018,502
24,Ühe lapsega paar,Ennustatud,0,7.42,2018,502
25,Kahe lapsega paar,Tegelik,0,9.74,2018,502
26,Kahe lapsega paar,Ennustatud,0,9.74,2018,502
27,Kolme ja enama lapsega paar,Tegelik,0,7.35,2018,502
28,Kolme ja enama lapsega paar,Ennustatud,0,7.35,2018,502
29,Üksik mees,Tegelik,6.42,33.62,2018,503
30,Üksik mees,Ennustatud,6.42,33.62,2018,503
31,Üksik naine,Tegelik,2.16,22.68,2018,503
32,Üksik naine,Ennustatud,2.16,22.06,2018,503
33,Üksikvanem,Tegelik,0.19,30.12,2018,503
34,Üksikvanem,Ennustatud,0.19,30.12,2018,503
35,Lasteta paar,Tegelik,0.63,9.31,2018,503
36,Lasteta paar,Ennustatud,0.63,9.61,2018,503
37,Ühe lapsega paar,Tegelik,0,7.35,2018,503
38,Ühe lapsega paar,Ennustatud,0,7.42,2018,503
39,Kahe lapsega paar,Tegelik,0,9.74,2018,503
40,Kahe lapsega paar,Ennustatud,0,9.74,2018,503
41,Kolme ja enama lapsega paar,Tegelik,0,7.35,2018,503
42,Kolme ja enama lapsega paar,Ennustatud,0,7.35,2018,503
43,Üksik mees,Tegelik,6.42,33.62,2018,504
44,Üksik mees,Ennustatud,6.42,33.62,2018,504
