,household,scenario,absolute poverty,relative poverty,year,minwage
1,üksik mees,Tegelik 2020,5.47,32.99,2020,585
2,üksik mees,Ennustatud 2020,5.47,32.99,2020,585
3,üksik naine,Tegelik 2020,1.35,21.29,2020,585
4,üksik naine,Ennustatud 2020,1.35,21.29,2020,585
5,üksikvanem,Tegelik 2020,0,29.34,2020,585
6,üksikvanem,Ennustatud 2020,0,29.34,2020,585
7,Lasteta paar,Tegelik 2020,0.26,9.21,2020,585
8,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,585
9,ühe lapsega paar,Tegelik 2020,0,7.3,2020,585
10,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,585
11,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,585
12,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,585
13,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,585
14,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,585
15,üksik mees,Tegelik 2020,5.47,32.99,2020,586
16,üksik mees,Ennustatud 2020,5.47,32.99,2020,586
17,üksik naine,Tegelik 2020,1.35,21.29,2020,586
18,üksik naine,Ennustatud 2020,1.35,21.29,2020,586
19,üksikvanem,Tegelik 2020,0,29.34,2020,586
20,üksikvanem,Ennustatud 2020,0,29.34,2020,586
21,Lasteta paar,Tegelik 2020,0.26,9.21,2020,586
22,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,586
23,ühe lapsega paar,Tegelik 2020,0,7.3,2020,586
24,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,586
25,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,586
26,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,586
27,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,586
28,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,586
29,üksik mees,Tegelik 2020,5.47,32.99,2020,587
30,üksik mees,Ennustatud 2020,5.47,32.99,2020,587
31,üksik naine,Tegelik 2020,1.35,21.29,2020,587
32,üksik naine,Ennustatud 2020,1.35,21.29,2020,587
33,üksikvanem,Tegelik 2020,0,29.34,2020,587
34,üksikvanem,Ennustatud 2020,0,29.34,2020,587
35,Lasteta paar,Tegelik 2020,0.26,9.21,2020,587
36,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,587
37,ühe lapsega paar,Tegelik 2020,0,7.3,2020,587
38,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,587
39,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,587
40,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,587
41,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,587
42,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,587
43,üksik mees,Tegelik 2020,5.47,32.99,2020,588
44,üksik mees,Ennustatud 2020,5.47,32.99,2020,588
45,üksik naine,Tegelik 2020,1.35,21.29,2020,588
46,üksik naine,Ennustatud 2020,1.35,21.29,2020,588
47,üksikvanem,Tegelik 2020,0,29.34,2020,588
48,üksikvanem,Ennustatud 2020,0,29.34,2020,588
49,Lasteta paar,Tegelik 2020,0.26,9.21,2020,588
50,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,588
51,ühe lapsega paar,Tegelik 2020,0,7.3,2020,588
52,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,588
53,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,588
54,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,588
55,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,588
56,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,588
57,üksik mees,Tegelik 2020,5.47,32.99,2020,589
58,üksik mees,Ennustatud 2020,5.47,32.99,2020,589
59,üksik naine,Tegelik 2020,1.35,21.29,2020,589
60,üksik naine,Ennustatud 2020,1.35,21.29,2020,589
61,üksikvanem,Tegelik 2020,0,29.34,2020,589
62,üksikvanem,Ennustatud 2020,0,29.34,2020,589
63,Lasteta paar,Tegelik 2020,0.26,9.21,2020,589
64,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,589
65,ühe lapsega paar,Tegelik 2020,0,7.3,2020,589
66,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,589
67,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,589
68,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,589
69,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,589
70,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,589
71,üksik mees,Tegelik 2020,5.47,32.99,2020,590
72,üksik mees,Ennustatud 2020,5.47,32.99,2020,590
73,üksik naine,Tegelik 2020,1.35,21.29,2020,590
74,üksik naine,Ennustatud 2020,1.35,21.29,2020,590
75,üksikvanem,Tegelik 2020,0,29.34,2020,590
76,üksikvanem,Ennustatud 2020,0,29.34,2020,590
77,Lasteta paar,Tegelik 2020,0.26,9.21,2020,590
78,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,590
79,ühe lapsega paar,Tegelik 2020,0,7.3,2020,590
80,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,590
81,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,590
82,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,590
83,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,590
84,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,590
85,üksik mees,Tegelik 2020,5.47,32.99,2020,591
86,üksik mees,Ennustatud 2020,5.47,32.99,2020,591
87,üksik naine,Tegelik 2020,1.35,21.29,2020,591
88,üksik naine,Ennustatud 2020,1.35,21.29,2020,591
89,üksikvanem,Tegelik 2020,0,29.34,2020,591
90,üksikvanem,Ennustatud 2020,0,29.34,2020,591
91,Lasteta paar,Tegelik 2020,0.26,9.21,2020,591
92,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,591
93,ühe lapsega paar,Tegelik 2020,0,7.3,2020,591
94,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,591
95,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,591
96,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,591
97,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,591
98,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,591
99,üksik mees,Tegelik 2020,5.47,32.99,2020,592
100,üksik mees,Ennustatud 2020,5.47,32.99,2020,592
101,üksik naine,Tegelik 2020,1.35,21.29,2020,592
102,üksik naine,Ennustatud 2020,1.35,21.29,2020,592
103,üksikvanem,Tegelik 2020,0,29.34,2020,592
104,üksikvanem,Ennustatud 2020,0,29.34,2020,592
105,Lasteta paar,Tegelik 2020,0.26,9.21,2020,592
106,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,592
107,ühe lapsega paar,Tegelik 2020,0,7.3,2020,592
108,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,592
109,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,592
110,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,592
111,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,592
112,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,592
113,üksik mees,Tegelik 2020,5.47,32.99,2020,593
114,üksik mees,Ennustatud 2020,5.47,32.99,2020,593
115,üksik naine,Tegelik 2020,1.35,21.29,2020,593
116,üksik naine,Ennustatud 2020,1.35,21.29,2020,593
117,üksikvanem,Tegelik 2020,0,29.34,2020,593
118,üksikvanem,Ennustatud 2020,0,29.34,2020,593
119,Lasteta paar,Tegelik 2020,0.26,9.21,2020,593
120,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,593
121,ühe lapsega paar,Tegelik 2020,0,7.3,2020,593
122,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,593
123,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,593
124,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,593
125,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,593
126,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,593
127,üksik mees,Tegelik 2020,5.47,32.99,2020,594
128,üksik mees,Ennustatud 2020,5.47,32.99,2020,594
129,üksik naine,Tegelik 2020,1.35,21.29,2020,594
130,üksik naine,Ennustatud 2020,1.35,21.29,2020,594
131,üksikvanem,Tegelik 2020,0,29.34,2020,594
132,üksikvanem,Ennustatud 2020,0,29.62,2020,594
133,Lasteta paar,Tegelik 2020,0.26,9.21,2020,594
134,Lasteta paar,Ennustatud 2020,0.26,9.21,2020,594
135,ühe lapsega paar,Tegelik 2020,0,7.3,2020,594
136,ühe lapsega paar,Ennustatud 2020,0,7.3,2020,594
137,Kahe lapsega paar,Tegelik 2020,0,9.65,2020,594
138,Kahe lapsega paar,Ennustatud 2020,0,9.65,2020,594
139,Kolme ja enama lapsega paar,Tegelik 2020,0,7.99,2020,594
140,Kolme ja enama lapsega paar,Ennustatud 2020,0,7.99,2020,594
